#L&R = Liberal and Conservative
# The following keywords are assigned values ranging from -10 to 10.
# These values indicate positions on the political spectrum:
# -10 = Extreme Liberal, 0 = Moderate, 10 = Extreme Conservative

# Liberal
"Progressive",-10
"Compassion",-9
"Inclusivity",-9
"Fairness",-8
"Equality",-8
"Diversity",-8
"Empathy",-7
"Reform",-6
"Climate",-9
"Solidarity",-8
"Community",-5
"Universal",-9
"Rights",-7
"Equity",-8
"Transparency",-6
"Public",-5
"Healthcare",-9
"Social",-7
"Environmental",-9
"Tolerance",-7
"Sustainability",-9
"Humanity",-8
"Empowerment",-8
"Innovation",-5
"Renewable",-9
"Freedom",-6
"Unity",-6
"Affordable",-7
"Opportunity",-6
"Labor",-6
"Cooperation",-5
"Gender",-8
"Advocacy",-7
"Collective",-9
"Humanitarian",-7
"Education",-5
"Reproductive",-8
"Peace",-5
"Diplomacy",-5
"Multicultural",-8
"Liberties",-6
"Compromise",-4
"Rights",-9
"Sanctuary",-9
"Ethics",-6
"Union",-7
"Inclusion",-9
"Justice",-8
"Protection",-7
"Assistance",-6
"Safety",-7
"Values",-5
"Advocacy",-8
"Humanitarian",-7
"Empower",-8
"Volunteer",-6
"Civic",-5
"Charity",-5
"Wellbeing",-7
"Environmentalism",-9
"Coexistence",-8
"Democracy",-6
"Civility",-5
"Accountability",-6
"Global",-7
"Restorative",-8
"Collectivism",-9
"Compassionate",-7
"Dignity",-6
"Responsibility",-5
"Worker",-6
"Ethical",-5
"Justice",-8
"Inclusive",-8
"Progress",-7
"Nonviolence",-8
"Cultural",-5
"Outreach",-5
"Participation",-4
"Service",-6
"Socialism",-9
"Equality",-9
"Energy",-7
"Unity",-6
"Protection",-8
"Integration",-6
"Rehabilitation",-7
"Wellness",-6
"Anti-Poverty",-8
"Transparency",-5
"Safety",-7
"Integrity",-5
"International",-5
"Collaboration",-5
"Education",-6
"Rights",-8
"Freedom",-6
"Progressivism",-10
"Support",-5
"Solidarity",-8
"Opportunity",-7

# Conservative
"Conservative",10
"Freedom",6
"Tradition",8
"Patriotism",9
"Faith",8
"Family",7
"Security",8
"Individualism",7
"Free-market",9
"Self-reliance",8
"Duty",7
"Strength",9
"Honor",6
"Capitalism",9
"Values",5
"Integrity",6
"Nation",7
"Fiscal",9
"Order",8
"Law",7
"Military",8
"Constitution",9
"Community",5
"Liberty",6
"Ownership",7
"Independence",8
"Defense",9
"Morality",8
"Heritage",9
"Lawful",6
"Economy",7
"Opportunity",5
"Merit",7
"Discipline",8
"Strength",9
"Stability",8
"Tradition",8
"Sovereignty",9
"Property",8
"Faithfulness",7
"Heritage",8
"Respect",6
"Resourceful",7
"Family",7
"Safety",6
"Loyalty",8
"Values",5
"Strength",8
"Industry",6
"Self-sufficiency",8
"Honor",6
"Duty",7
"Leadership",6
"Growth",5
"Nation",8
"Competition",7
"Authority",8
"Principles",7
"Order",8
"Law-abiding",6
"Respect",5
"Pride",7
"Structure",6
"Responsibility",7
"Balanced",6
"Authority",8
"Legacy",7
"Liberties",6
"Efficiency",5
"Excellence",7
"Defense",8
"Border",9
"Security",8
"Tradition",8
"Discipline",9
"Meritocracy",9
"Pragmatism",6
"Resilience",7
"Determination",8
"Prosperity",8
"Values",5
"Loyalty",7
"Patriotism",9
"Constitutionalism",9
"Hardwork",8
"Entrepreneurship",8
"Balanced",6
"Respect",5
"Honor",7
"Duty",8
"Accountable",6
"Success",8
"Vision",6
"Lawful",7
"Prosperity",8
"Family",6
